payment_id,claim_id,payment_date,payment_amount,payment_type,cumulative_paid
52,12,2025-05-01,3961.24,indemnity,40596.34
53,12,2025-03-19,-665.69,recovery,39930.65
54,13,2023-04-14,8612.73,indemnity,8612.73
55,13,2024-04-30,6498.41,indemnity,15111.14
56,13,2025-01-02,3496.88,indemnity,18608.02
57,13,2025-10-12,2273.53,indemnity,20881.55
58,14,2021-02-15,102904.69,indemnity,102904.69
59,14,2022-01-06,93268.56,indemnity,196173.25
60,14,2023-08-19,92679.07,indemnity,288852.32
61,14,2024-01-08,72409.09,indemnity,361261.41
62,14,2025-02-06,51640.61,indemnity,412902.02
63,14,2025-12-14,49331.31,indemnity,462233.33
64,14,2025-12-29,5460.81,expense,467694.14
65,15,2022-07-28,2926.0,indemnity,2926.0
66,15,2023-11-27,2664.95,indemnity,5590.95
67,15,2025-03-20,1816.39,indemnity,7407.34
68,15,2024-11-16,174.97,expense,7582.31
69,15,2025-10-21,902.63,indemnity,8484.94
70,16,2022-07-14,10695.8,indemnity,10695.8
71,16,2023-04-16,11582.96,indemnity,22278.76
72,16,2024-09-14,7689.18,indemnity,29967.94
73,16,2025-05-16,3680.17,indemnity,33648.11
74,16,2025-12-21,1906.57,indemnity,35554.68
75,17,2021-06-06,2570.56,indemnity,2570.56
76,17,2022-07-29,1668.8,indemnity,4239.36
77,17,2023-01-09,877.42,indemnity,5116.78
78,17,2024-06-16,275.22,indemnity,5392.0
79,18,2021-08-18,13623.03,indemnity,13623.03
80,18,2022-09-06,7718.8,indemnity,21341.83
81,18,2024-02-28,4068.4,indemnity,25410.23
82,18,2025-03-28,1239.16,indemnity,26649.39
83,19,2024-03-29,21402.25,indemnity,21402.25
84,19,2025-06-10,22648.96,indemnity,44051.21
85,19,2025-12-18,14373.73,indemnity,58424.94
86,20,2024-07-30,8311.42,indemnity,8311.42
87,20,2025-11-15,9601.13,indemnity,17912.55
88,20,2025-12-25,5264.25,indemnity,23176.8
89,21,2023-01-26,33323.39,indemnity,33323.39
90,21,2022-12-26,2024.36,expense,35347.75
91,21,2023-09-03,18702.17,indemnity,54049.92
92,21,2024-08-05,9822.05,indemnity,63871.97
93,21,2025-05-13,3264.28,indemnity,67136.25
94,21,2025-10-03,316.34,expense,67452.59
95,22,2023-10-17,1159.26,indemnity,1159.26
96,22,2024-09-18,717.32,indemnity,1876.58
97,22,2025-02-27,360.2,indemnity,2236.78
98,23,2023-04-23,6607.63,indemnity,6607.63
99,23,2023-05-05,4559.48,indemnity,11167.11
100,23,2024-07-07,2093.99,indemnity,13261.1
101,23,2024-12-29,135.43,expense,13396.53
102,23,2025-07-14,782.43,indemnity,14178.96
103,24,2023-07-21,37945.18,indemnity,37945.18
104,24,2024-09-13,22796.36,indemnity,60741.54
105,24,2025-10-03,12424.94,indemnity,73166.48
106,24,2025-12-31,3811.91,indemnity,76978.39
107,24,2025-12-29,435.55,expense,77413.94
108,25,2022-12-11,20384.37,indemnity,20384.37
109,25,2023-10-04,14349.2,indemnity,34733.57
110,25,2024-08-28,7206.12,indemnity,41939.69
111,25,2025-09-29,4859.21,indemnity,46798.9
112,26,2022-01-29,13917.33,indemnity,13917.33
113,26,2023-06-15,9467.92,indemnity,23385.25
114,26,2024-07-18,4650.74,indemnity,28035.99
115,26,2025-01-29,3390.15,indemnity,31426.14
116,26,2025-12-20,252.99,expense,31679.13
117,27,2023-05-09,16713.56,indemnity,16713.56
118,27,2024-03-13,12942.54,indemnity,29656.1
119,27,2025-03-25,6046.03,indemnity,35702.13
120,28,2023-10-24,6119.8,indemnity,6119.8
121,28,2024-07-12,3498.64,indemnity,9618.44
122,28,2024-10-12,446.06,expense,10064.5
123,28,2025-08-08,1912.39,indemnity,11976.89
124,29,2024-02-21,16374.76,indemnity,16374.76
125,29,2025-06-04,10361.44,indemnity,26736.2
126,29,2025-12-26,4944.45,indemnity,31680.65
127,30,2023-11-10,8488.18,indemnity,8488.18
128,30,2024-03-12,5337.69,indemnity,13825.87
129,30,2025-08-16,2924.15,indemnity,16750.02
130,31,2024-01-27,14269.78,indemnity,14269.78
131,31,2024-06-04,7678.66,indemnity,21948.44
132,31,2024-06-25,-968.53,recovery,20979.91
133,31,2025-06-26,3952.99,indemnity,24932.9
134,32,2022-03-22,31442.78,indemnity,31442.78
135,32,2023-04-02,23901.18,indemnity,55343.96
136,32,2023-11-04,12976.97,indemnity,68320.93
137,32,2024-11-08,7926.38,indemnity,76247.31
138,32,2024-05-06,869.64,expense,77116.95
139,32,2025-07-18,4063.82,indemnity,81180.77
140,33,2025-06-04,2497.42,indemnity,2497.42
141,34,2025-07-24,44077.12,indemnity,44077.12
142,35,2023-04-09,15883.66,indemnity,15883.66
143,35,2024-12-25,9907.41,indemnity,25791.07
144,35,2025-12-20,4859.12,indemnity,30650.19
145,35,2025-06-26,359.56,expense,31009.75
146,36,2023-10-29,9316.15,indemnity,9316.15
147,36,2024-04-22,5166.16,indemnity,14482.31
148,36,2025-03-29,2919.55,indemnity,17401.86
149,37,2023-05-13,53364.64,indemnity,53364.64
150,37,2023-04-10,4640.05,expense,58004.69
151,37,2024-02-21,32080.27,indemnity,90084.96
152,37,2025-11-02,16619.45,indemnity,106704.41
153,38,2020-09-27,25768.04,indemnity,25768.04
154,38,2022-07-28,18763.64,indemnity,44531.68
155,38,2022-12-20,10157.46,indemnity,54689.14
156,38,2024-04-02,6107.99,indemnity,60797.13
157,38,2024-12-31,3180.94,indemnity,63978.07
158,39,2022-07-06,7124.46,indemnity,7124.46
159,39,2023-12-27,5492.77,indemnity,12617.23
160,39,2024-11-08,3000.5,indemnity,15617.73
161,39,2025-08-21,1908.46,indemnity,17526.19
162,40,2020-12-28,902.99,indemnity,902.99
163,40,2021-12-03,460.31,indemnity,1363.3
164,40,2022-10-26,273.89,indemnity,1637.19
165,40,2024-07-21,86.5,indemnity,1723.69
166,40,2024-03-05,4.91,expense,1728.6
167,41,2022-05-28,45881.45,indemnity,45881.45
168,41,2021-11-13,3904.92,expense,49786.37
169,41,2023-03-03,25301.87,indemnity,75088.24
170,41,2023-07-09,11731.85,indemnity,86820.09
171,41,2023-11-22,1747.63,expense,88567.72
172,41,2025-06-29,4636.46,indemnity,93204.18
173,42,2021-07-24,3898.41,indemnity,3898.41
174,42,2021-11-01,2422.81,indemnity,6321.22
175,42,2022-12-03,1275.73,indemnity,7596.95
176,42,2023-12-22,410.68,indemnity,8007.63
177,43,2022-02-24,10357.25,indemnity,10357.25
178,43,2023-03-02,6752.58,indemnity,17109.83
179,43,2022-12-19,865.18,expense,17975.01
180,43,2024-01-19,3257.9,indemnity,21232.91
181,43,2025-03-03,1111.12,indemnity,22344.03
182,43,2024-06-20,151.88,expense,22495.91
183,44,2022-01-17,28401.38,indemnity,28401.38
184,44,2023-03-19,16042.14,indemnity,44443.52
185,44,2023-07-17,8172.46,indemnity,52615.98
186,44,2024-07-20,2900.97,indemnity,55516.95
187,45,2022-04-02,17778.64,indemnity,17778.64
188,45,2023-08-04,16183.49,indemnity,33962.13
189,45,2024-10-22,10985.11,indemnity,44947.24
190,45,2024-11-11,5116.86,indemnity,50064.1
191,45,2025-11-29,2963.68,indemnity,53027.78
192,46,2025-04-03,11362.51,indemnity,11362.51
193,46,2025-01-09,641.44,expense,12003.95
194,46,2025-12-09,8453.17,indemnity,20457.12
195,47,2021-12-15,2046.44,indemnity,2046.44
196,47,2022-05-28,1183.02,indemnity,3229.46
197,47,2024-01-29,563.76,indemnity,3793.22
198,47,2024-11-09,206.62,indemnity,3999.84
199,48,2022-01-29,7362.81,indemnity,7362.81
200,48,2022-08-31,4216.07,indemnity,11578.88
201,48,2023-11-03,2035.45,indemnity,13614.33
202,48,2025-03-15,660.99,indemnity,14275.32
203,49,2022-09-25,29142.48,indemnity,29142.48
204,49,2023-07-03,21842.21,indemnity,50984.69
205,49,2024-09-21,11464.64,indemnity,62449.33
206,49,2025-07-25,7405.64,indemnity,69854.97
207,49,2025-07-17,522.69,expense,70377.66
208,50,2022-03-06,3115.11,indemnity,3115.11
209,50,2023-09-03,2156.9,indemnity,5272.01
210,50,2024-05-01,1167.25,indemnity,6439.26
211,50,2025-11-09,744.21,indemnity,7183.47
212,51,2020-09-25,15126.69,indemnity,15126.69
213,51,2022-03-04,10714.47,indemnity,25841.16
214,51,2022-09-04,5510.98,indemnity,31352.14
215,51,2023-03-24,317.58,expense,31669.72
216,51,2024-03-31,3569.59,indemnity,35239.31
217,51,2024-12-19,1997.39,indemnity,37236.7
218,51,2025-04-30,181.61,expense,37418.31
219,52,2021-09-27,5347.81,indemnity,5347.81
220,52,2023-09-04,3232.59,indemnity,8580.4
221,52,2024-02-14,1613.32,indemnity,10193.72
222,52,2025-05-22,593.2,indemnity,10786.92
223,53,2022-07-16,5797.42,indemnity,5797.42
224,53,2023-07-04,3732.19,indemnity,9529.61
225,53,2024-10-01,1589.58,indemnity,11119.19
226,53,2025-07-05,576.1,indemnity,11695.29
227,54,2022-08-02,10289.44,indemnity,10289.44
228,54,2024-01-15,5180.04,indemnity,15469.48
229,54,2023-05-02,605.64,expense,16075.12
230,54,2024-10-01,2839.41,indemnity,18914.53
231,54,2025-03-28,969.5,indemnity,19884.03
232,55,2023-04-11,13128.49,indemnity,13128.49
233,55,2023-11-15,8503.26,indemnity,21631.75
234,55,2024-04-28,4518.32,indemnity,26150.07
235,55,2024-10-06,435.97,expense,26586.04
236,55,2025-10-16,1393.6,indemnity,27979.64
237,56,2024-04-05,8439.07,indemnity,8439.07
238,56,2025-10-05,6647.17,indemnity,15086.24
239,57,2021-07-14,12247.94,indemnity,12247.94
240,57,2022-07-21,7547.72,indemnity,19795.66
241,57,2022-12-16,3328.28,indemnity,23123.94
242,57,2024-03-28,1204.13,indemnity,24328.07
243,58,2022-09-03,34411.35,indemnity,34411.35
244,58,2023-07-26,19173.69,indemnity,53585.04
245,58,2024-09-11,9962.2,indemnity,63547.24
246,58,2024-06-30,-881.84,recovery,62665.4
247,58,2025-02-18,3317.85,indemnity,65983.25
248,59,2021-07-17,1417.88,indemnity,1417.88
249,59,2022-07-16,884.93,indemnity,2302.81
250,59,2023-02-01,414.19,indemnity,2717.0
251,59,2024-05-10,145.04,indemnity,2862.04
252,60,2021-07-26,3888.94,indemnity,3888.94
253,60,2022-02-10,2314.14,indemnity,6203.08
254,60,2022-05-31,-385.87,recovery,5817.21
255,60,2023-10-10,1143.73,indemnity,6960.94
256,60,2024-10-10,373.15,indemnity,7334.09
257,61,2021-10-04,3974.36,indemnity,3974.36
258,61,2022-10-09,2472.98,indemnity,6447.34
259,61,2022-05-04,337.99,expense,6785.33
260,61,2024-01-06,1314.63,indemnity,8099.96
261,61,2024-02-27,73.85,expense,8173.81
262,61,2024-05-16,427.97,indemnity,8601.78
263,62,2022-06-15,21837.01,indemnity,21837.01
264,62,2023-08-13,19949.82,indemnity,41786.83
265,62,2024-07-25,8658.12,indemnity,50444.95
266,62,2024-03-26,795.72,expense,51240.67
267,62,2024-12-02,5941.17,indemnity,57181.84
268,62,2025-12-21,2995.1,indemnity,60176.94
269,63,2023-10-22,13914.84,indemnity,13914.84
270,63,2023-11-10,1407.24,expense,15322.08
271,63,2024-07-27,10311.82,indemnity,25633.9
272,63,2025-12-13,5175.81,indemnity,30809.71
273,64,2022-12-15,6388.96,indemnity,6388.96
274,64,2022-12-17,-951.01,recovery,5437.95
275,64,2024-02-13,5408.02,indemnity,10845.97
276,64,2025-05-31,2407.95,indemnity,13253.92
277,64,2025-12-08,1886.59,indemnity,15140.51
278,64,2025-09-11,266.97,expense,15407.48
279,65,2024-09-27,67254.84,indemnity,67254.84
280,65,2025-01-14,56377.16,indemnity,123632.0
281,65,2025-12-05,37641.88,indemnity,161273.88
282,66,2023-12-20,14514.49,indemnity,14514.49
283,66,2024-11-04,10107.12,indemnity,24621.61
284,66,2025-12-12,5162.18,indemnity,29783.79
285,67,2024-06-05,6994.21,indemnity,6994.21
286,67,2025-05-28,3999.96,indemnity,10994.17
287,67,2025-09-12,2004.22,indemnity,12998.39
288,68,2024-09-07,6355.17,indemnity,6355.17
289,68,2025-02-16,3551.98,indemnity,9907.15
290,68,2025-12-05,1893.51,indemnity,11800.66
291,69,2023-10-27,29271.98,indemnity,29271.98
292,69,2024-09-29,17116.03,indemnity,46388.01
293,69,2025-08-25,2370.32,expense,48758.33
294,69,2025-11-13,9020.67,indemnity,57779.0
295,70,2024-08-10,15122.5,indemnity,15122.5
296,70,2024-05-16,1960.02,expense,17082.52
297,70,2025-01-25,10655.26,indemnity,27737.78
298,70,2025-10-19,4819.39,indemnity,32557.17
299,71,2023-10-02,3923.19,indemnity,3923.19
300,71,2024-05-09,292.49,expense,4215.68
301,71,2025-04-24,2688.04,indemnity,6903.72
302,71,2024-08-29,254.32,expense,7158.04
303,71,2025-09-29,1314.13,indemnity,8472.17
304,72,2022-02-08,31083.19,indemnity,31083.19
305,72,2022-09-20,24266.65,indemnity,55349.84
306,72,2023-08-29,12169.8,indemnity,67519.64
307,72,2025-01-29,8171.62,indemnity,75691.26
308,72,2025-11-02,4424.88,indemnity,80116.14
309,73,2022-02-05,12279.56,indemnity,12279.56
310,73,2022-12-03,9023.42,indemnity,21302.98
311,73,2023-05-12,4555.14,indemnity,25858.12
312,73,2024-05-07,3259.07,indemnity,29117.19
313,73,2025-06-21,1558.52,indemnity,30675.71
314,74,2022-03-10,13277.55,indemnity,13277.55
315,74,2022-09-10,8017.9,indemnity,21295.45
316,74,2024-07-24,4270.31,indemnity,25565.76
317,74,2023-11-07,527.78,expense,26093.54
318,74,2025-06-14,1330.78,indemnity,27424.32
319,75,2022-07-31,5409.68,indemnity,5409.68
320,75,2023-02-14,3274.11,indemnity,8683.79
321,75,2024-09-17,1532.19,indemnity,10215.98
322,75,2024-06-15,226.41,expense,10442.39
323,75,2025-02-17,552.48,indemnity,10994.87
324,76,2021-11-14,18609.6,indemnity,18609.6
325,76,2022-07-27,12158.21,indemnity,30767.81
326,76,2023-07-29,5728.35,indemnity,36496.16
327,76,2024-10-08,2143.33,indemnity,38639.49
328,76,2025-03-24,121.82,expense,38761.31
329,77,2022-06-13,3785.52,indemnity,3785.52
330,77,2023-04-27,2278.99,indemnity,6064.51
331,77,2024-06-09,1100.08,indemnity,7164.59
332,77,2025-11-16,395.7,indemnity,7560.29
333,78,2022-06-27,5342.73,indemnity,5342.73
334,78,2023-03-28,2927.22,indemnity,8269.95
335,78,2024-05-21,1418.54,indemnity,9688.49
336,78,2025-06-05,504.22,indemnity,10192.71
337,78,2025-06-29,58.36,expense,10251.07
338,79,2022-01-20,6191.21,indemnity,6191.21
339,79,2022-09-12,3665.53,indemnity,9856.74
340,79,2024-03-13,1956.03,indemnity,11812.77
341,79,2024-08-26,641.28,indemnity,12454.05
342,79,2025-02-25,94.21,expense,12548.26
343,80,2020-11-16,49950.23,indemnity,49950.23
344,80,2022-02-19,36112.87,indemnity,86063.1
345,80,2022-02-05,5394.22,expense,91457.32
346,80,2022-08-29,16593.74,indemnity,108051.06
347,80,2024-08-12,14074.59,indemnity,122125.65
348,80,2024-09-12,5815.31,indemnity,127940.96
349,81,2020-11-29,24884.36,indemnity,24884.36
350,81,2022-03-22,17897.99,indemnity,42782.35
351,81,2021-12-12,1361.35,expense,44143.7
352,81,2022-10-25,9032.16,indemnity,53175.86
353,81,2023-11-11,5877.81,indemnity,59053.67
354,81,2025-06-28,3140.11,indemnity,62193.78
355,81,2025-06-29,300.86,expense,62494.64
356,82,2022-08-09,80140.88,indemnity,80140.88
357,82,2023-11-22,53123.94,indemnity,133264.82
358,82,2025-04-03,23863.79,indemnity,157128.61
359,82,2025-06-09,8166.31,indemnity,165294.92
360,83,2022-09-26,18116.46,indemnity,18116.46
361,83,2023-11-05,12445.68,indemnity,30562.14
362,83,2025-03-04,6150.61,indemnity,36712.75
363,83,2025-09-23,1789.14,indemnity,38501.89
364,84,2022-03-07,6416.02,indemnity,6416.02
365,84,2022-02-13,784.17,expense,7200.19
366,84,2023-12-06,4130.32,indemnity,11330.51
367,84,2024-06-14,2127.45,indemnity,13457.96
368,84,2024-01-31,252.81,expense,13710.77
369,84,2025-01-19,733.24,indemnity,14444.01
370,85,2025-08-20,2015.04,indemnity,2015.04
371,85,2025-08-03,276.17,expense,2291.21
372,86,2021-03-25,8316.48,indemnity,8316.48
373,86,2021-04-16,1058.77,expense,9375.25
374,86,2021-11-30,8461.26,indemnity,17836.51
375,86,2023-03-17,8622.48,indemnity,26458.99
376,86,2024-10-31,6064.22,indemnity,32523.21
377,86,2024-12-30,3898.38,indemnity,36421.59
378,86,2025-11-12,3913.36,indemnity,40334.95
379,87,2021-12-06,24202.09,indemnity,24202.09
380,87,2021-09-21,-4495.85,recovery,19706.24
381,87,2022-07-21,19133.35,indemnity,38839.59
382,87,2023-01-11,10297.88,indemnity,49137.47
383,87,2024-09-29,6344.55,indemnity,55482.02
384,87,2025-06-11,3123.15,indemnity,58605.17
385,88,2022-06-06,2078.99,indemnity,2078.99
386,88,2024-01-23,1297.83,indemnity,3376.82
387,88,2024-12-26,614.35,indemnity,3991.17
388,88,2025-04-11,212.66,indemnity,4203.83
389,89,2025-12-16,3950.97,indemnity,3950.97
390,90,2025-08-14,12095.53,indemnity,12095.53
391,91,2022-11-07,4697.59,indemnity,4697.59
392,91,2023-04-24,2844.36,indemnity,7541.95
393,91,2024-09-22,1408.97,indemnity,8950.92
394,91,2025-05-06,466.27,indemnity,9417.19
395,92,2022-12-14,7844.93,indemnity,7844.93
396,92,2022-06-27,1050.81,expense,8895.74
397,92,2023-09-02,4937.64,indemnity,13833.38
398,92,2023-11-23,557.16,expense,14390.54
399,92,2024-05-28,2302.3,indemnity,16692.84
400,92,2025-03-21,767.33,indemnity,17460.17
401,93,2025-08-18,5373.77,indemnity,5373.77
402,94,2024-11-08,15071.92,indemnity,15071.92
403,94,2024-12-26,-834.95,recovery,14236.97
404,94,2025-08-19,11170.27,indemnity,25407.24
405,95,2021-04-04,37085.84,indemnity,37085.84
406,95,2022-04-20,21343.55,indemnity,58429.39
407,95,2023-01-18,10307.19,indemnity,68736.58
408,95,2023-07-31,3429.4,indemnity,72165.98
409,95,2024-05-23,403.88,expense,72569.86
410,96,2021-12-16,23943.06,indemnity,23943.06
411,96,2022-03-21,1750.9,expense,25693.96
412,96,2022-05-01,16709.62,indemnity,42403.58
413,96,2024-01-06,8696.48,indemnity,51100.06
414,96,2024-08-29,5565.89,indemnity,56665.95
415,96,2025-08-25,2654.88,indemnity,59320.83
416,96,2025-10-26,334.89,expense,59655.72
417,97,2021-10-17,20003.18,indemnity,20003.18
418,97,2022-08-23,13836.08,indemnity,33839.26
419,97,2023-04-10,7060.02,indemnity,40899.28
420,97,2024-01-05,5238.61,indemnity,46137.89
421,97,2025-05-13,2234.25,indemnity,48372.14
422,98,2025-12-26,10447.24,indemnity,10447.24
423,98,2025-12-20,1473.16,expense,11920.4
424,99,2024-11-15,19879.14,indemnity,19879.14
425,99,2025-10-18,14397.48,indemnity,34276.62
426,100,2025-03-16,9713.73,indemnity,9713.73
427,101,2022-01-01,39474.4,indemnity,39474.4
428,101,2022-12-05,29902.1,indemnity,69376.5
429,101,2023-12-24,15410.31,indemnity,84786.81
430,101,2025-04-26,10238.96,indemnity,95025.77
431,101,2025-11-21,5506.42,indemnity,100532.19
432,102,2021-05-11,2566.85,indemnity,2566.85
433,102,2022-06-12,1688.19,indemnity,4255.04
434,102,2023-07-23,854.94,indemnity,5109.98
435,102,2023-03-01,-154.77,recovery,4955.21
436,102,2024-09-26,256.12,indemnity,5211.33
437,103,2021-08-06,21572.63,indemnity,21572.63
438,103,2022-05-13,12271.24,indemnity,33843.87
439,103,2023-01-17,6043.01,indemnity,39886.88
440,103,2024-07-19,2167.47,indemnity,42054.35
441,104,2020-12-19,20915.25,indemnity,20915.25
442,104,2021-11-21,12099.25,indemnity,33014.5
443,104,2023-04-05,6167.36,indemnity,39181.86
444,104,2023-12-05,1871.59,indemnity,41053.45
445,104,2023-08-13,241.69,expense,41295.14
446,105,2021-02-20,21246.12,indemnity,21246.12
447,105,2022-12-31,13344.3,indemnity,34590.42
448,105,2023-12-07,6513.65,indemnity,41104.07
449,105,2024-12-20,2172.68,indemnity,43276.75
450,106,2021-03-19,38357.31,indemnity,38357.31
451,106,2022-10-15,25216.43,indemnity,63573.74
452,106,2023-06-16,11103.31,indemnity,74677.05
453,106,2024-04-16,3799.77,indemnity,78476.82
454,107,2025-04-13,2067.2,indemnity,2067.2
455,107,2025-12-27,1672.42,indemnity,3739.62
456,108,2022-05-06,28888.84,indemnity,28888.84
457,108,2023-06-16,20657.26,indemnity,49546.1
458,108,2024-06-23,11387.38,indemnity,60933.48
459,108,2025-05-17,7631.54,indemnity,68565.02
460,108,2025-09-24,3432.49,indemnity,71997.51
461,109,2022-05-12,42898.82,indemnity,42898.82
462,109,2023-01-18,34674.66,indemnity,77573.48
463,109,2024-07-03,15745.06,indemnity,93318.54
464,109,2025-05-13,10830.6,indemnity,104149.14
465,109,2025-12-26,5231.88,indemnity,109381.02
466,110,2025-12-19,23505.29,indemnity,23505.29
467,111,2022-09-25,47715.97,indemnity,47715.97
468,111,2023-12-03,52270.36,indemnity,99986.33
469,111,2024-09-17,31814.59,indemnity,131800.92
470,111,2025-10-20,14852.5,indemnity,146653.42
471,112,2021-06-13,13750.28,indemnity,13750.28
472,112,2022-09-26,9827.12,indemnity,23577.4
473,112,2023-09-16,4735.94,indemnity,28313.34
474,112,2024-02-18,3033.51,indemnity,31346.85
475,112,2025-01-13,1489.33,indemnity,32836.18
476,113,2021-06-23,9753.09,indemnity,9753.09
477,113,2022-01-01,7521.55,indemnity,17274.64
478,113,2023-01-21,3445.42,indemnity,20720.06
479,113,2023-11-13,2437.08,indemnity,23157.14
480,113,2024-12-12,1075.14,indemnity,24232.28
481,114,2022-02-22,13724.28,indemnity,13724.28
482,114,2022-10-27,11606.89,indemnity,25331.17
483,114,2023-12-21,5412.9,indemnity,30744.07
484,114,2024-09-25,3524.0,indemnity,34268.07
485,114,2024-08-26,351.34,expense,34619.41
486,114,2025-06-25,1818.36,indemnity,36437.77
487,115,2024-12-05,17860.02,indemnity,17860.02
488,115,2025-12-10,11098.53,indemnity,28958.55
489,115,2025-12-11,823.15,expense,29781.7
490,116,2021-04-23,23031.67,indemnity,23031.67
491,116,2022-09-01,17692.33,indemnity,40724.0
492,116,2023-01-15,8891.44,indemnity,49615.44
493,116,2024-03-29,5798.28,indemnity,55413.72
494,116,2024-05-05,787.75,expense,56201.47
495,116,2024-10-29,2772.17,indemnity,58973.64
496,117,2023-09-23,32034.35,indemnity,32034.35
497,117,2024-05-14,18975.82,indemnity,51010.17
498,117,2025-09-20,10349.9,indemnity,61360.07
499,118,2024-09-22,18046.07,indemnity,18046.07
500,118,2025-03-05,8499.31,indemnity,26545.38
501,119,2022-11-10,22384.01,indemnity,22384.01
502,119,2024-05-14,21036.36,indemnity,43420.37
503,119,2025-05-07,21310.89,indemnity,64731.26
504,119,2025-08-28,17123.0,indemnity,81854.26
505,119,2025-12-15,1547.89,expense,83402.15
506,120,2021-08-21,5685.45,indemnity,5685.45
507,120,2022-05-27,4292.8,indemnity,9978.25
508,120,2023-07-07,1912.15,indemnity,11890.4
509,120,2024-02-18,1327.33,indemnity,13217.73
510,120,2025-06-08,662.35,indemnity,13880.08
511,121,2021-06-21,21160.39,indemnity,21160.39
512,121,2022-08-07,18602.58,indemnity,39762.97
513,121,2023-03-22,8199.89,indemnity,47962.86
514,121,2024-05-23,5671.66,indemnity,53634.52
515,121,2025-06-03,2764.35,indemnity,56398.87
516,121,2025-06-07,357.16,expense,56756.03
517,122,2021-04-25,18066.39,indemnity,18066.39
518,122,2022-10-26,13693.83,indemnity,31760.22
519,122,2024-01-04,6842.5,indemnity,38602.72
520,122,2024-11-30,4625.91,indemnity,43228.63
521,122,2025-12-16,2305.08,indemnity,45533.71
522,123,2023-12-02,3965.01,indemnity,3965.01
523,123,2024-04-04,2440.44,indemnity,6405.45
524,123,2025-05-09,1229.23,indemnity,7634.68
525,123,2025-12-29,417.35,indemnity,8052.03
526,124,2023-10-21,13925.47,indemnity,13925.47
527,124,2024-05-16,8629.58,indemnity,22555.05
528,124,2025-04-27,4339.25,indemnity,26894.3
529,125,2021-01-02,13743.43,indemnity,13743.43
530,125,2021-01-04,-803.88,recovery,12939.55
531,125,2021-08-31,15634.71,indemnity,28574.26
532,125,2023-04-11,8952.73,indemnity,37526.99
533,125,2023-03-08,-1051.41,recovery,36475.58
534,125,2024-02-27,5357.07,indemnity,41832.65
535,125,2024-08-12,2452.28,indemnity,44284.93
536,125,2025-12-28,2371.45,indemnity,46656.38
537,126,2022-01-26,13623.0,indemnity,13623.0
538,126,2023-05-05,11243.7,indemnity,24866.7
539,126,2024-08-04,5330.34,indemnity,30197.04
540,126,2025-06-14,3587.5,indemnity,33784.54
541,126,2025-12-31,1808.84,indemnity,35593.38
542,127,2022-09-15,22434.54,indemnity,22434.54
543,127,2023-10-01,16038.7,indemnity,38473.24
